transaction_id,customer_id,account_id,customer_name,customer_email,account_age_days,timestamp,amount,currency,merchant_category,merchant_id,channel,device_id,ip_country,home_country,is_new_device,destination_account_age_days,label,attack_type
txn_7d76f38077c14b,cust_a3198427f9,acc_c512688a228b,Sana Mehta,sana.mehta272@proton.me,1018,2026-06-01T01:35:46,12.2,USD,fuel,merch_b3e11138,card_present,dev_m43i465xze,US,US,False,,0,
txn_8d1c443d579a41,cust_f7e1dd388e,acc_382deecf0cbb,Karan Reddy,karan.reddy945@yahoo.com,675,2026-06-01T02:05:46,30.05,USD,grocery,merch_6cbaaa57,card_not_present,dev_1xtqsr7sh2,SG,SG,False,,0,
txn_871eb682a61b49,cust_4165bf4e0b,acc_22c14538efeb,Aditya Verma,aditya.verma559@outlook.com,453,2026-06-01T02:26:33,17.83,INR,fuel,merch_7b7e3516,card_present,dev_rqa4mp669q,IN,IN,False,,0,
txn_5b3698466c504e,cust_c4a35747b5,acc_90abdb59eee7,Sana Das,sana.das154@outlook.com,463,2026-06-01T02:38:37,13.13,INR,entertainment,merch_af5ea5fe,app_transfer,dev_rodq4akm9e,IN,IN,False,,0,
txn_d3c4e0417dbb41,cust_edfeb42042,acc_c052bd967988,Rohan Sharma,rohan.sharma924@outlook.com,1732,2026-06-01T03:18:11,24.93,USD,entertainment,merch_eb85e609,app_transfer,dev_0skmsu9kdp,US,US,False,,0,
txn_2f71a05715ff46,cust_590acb4123,acc_9438579bc1ed,Rohan Singh,rohan.singh265@proton.me,2496,2026-06-01T04:26:11,7.28,USD,fuel,merch_30eeac1f,card_present,dev_8ia77e799o,US,US,False,,0,
txn_aef0191f984f49,cust_4082239a9a,acc_7c5e17d227c5,Neha Khan,neha.khan75@gmail.com,2182,2026-06-01T04:58:43,163.99,INR,travel,merch_e8d70579,wire,dev_m75w15mn6s,IN,IN,False,,0,
txn_2387845f615d4e,cust_4b5739c911,acc_4f230e0ab70f,Myra Nair,myra.nair458@outlook.com,1669,2026-06-01T05:25:48,20.06,INR,fuel,merch_9c85ac6b,card_not_present,dev_n2wkiyv49q,IN,IN,False,,0,
txn_2b14d22772aa4f,cust_f38031019e,acc_d09adc415a37,Rohan Verma,rohan.verma571@yahoo.com,1059,2026-06-01T05:28:08,15.93,USD,ecommerce_general,merch_79312d52,card_not_present,dev_qgcbjjuidc,AE,AE,False,,0,
txn_53e80b32d4d145,cust_a5bfcfbdeb,acc_273b8eec5a2a,Vivaan Joshi,vivaan.joshi888@gmail.com,1543,2026-06-01T06:13:31,46.62,USD,travel,merch_903afde5,card_present,dev_slkcceedb2,US,US,False,,0,
txn_8ddbab5ef1204a,cust_fc9bfe561d,acc_1cb71ae1a015,Diya Das,diya.das213@outlook.com,1098,2026-06-01T06:15:53,16.57,INR,apparel,merch_34eb2a69,app_transfer,dev_drgfr27riu,IN,IN,False,,0,
txn_c75bf0238f7644,cust_edfeb42042,acc_c052bd967988,Rohan Sharma,rohan.sharma924@outlook.com,1732,2026-06-01T06:18:23,57.52,USD,ecommerce_general,merch_fa65e88a,card_not_present,dev_0skmsu9kdp,US,US,False,,0,
txn_bf3055e6418548,cust_87f05cf89b,acc_738bf8daab08,Myra Khan,myra.khan643@proton.me,555,2026-06-01T06:27:46,10.19,INR,food_delivery,merch_cfa9e12d,card_not_present,dev_znfjk18mon,IN,IN,False,,0,
txn_6aa43991f8484f,cust_17429dc744,acc_0eb0f29efeca,Priya Iyer,priya.iyer756@yahoo.com,98,2026-06-01T06:40:20,5.09,INR,food_delivery,merch_0f29cce2,card_present,dev_3yuyuirzub,IN,IN,False,,0,
txn_e7121a6affeb47,cust_665f822167,acc_4e4bc8337ffb,Kabir Joshi,kabir.joshi103@yahoo.com,141,2026-06-01T06:44:17,22.68,INR,apparel,merch_4aa0f453,card_present,dev_napgfhtn9x,IN,IN,False,,0,
txn_68a1f5ee796847,cust_f41735e5ca,acc_a317be5d90f8,Rahul Das,rahul.das891@gmail.com,2104,2026-06-01T06:48:08,23.36,INR,entertainment,merch_bf71633e,card_not_present,dev_jolyk3ww8o,IN,IN,False,,0,
txn_255cd5652fe54b,cust_f7e1dd388e,acc_382deecf0cbb,Karan Reddy,karan.reddy945@yahoo.com,675,2026-06-01T06:53:17,5.75,USD,grocery,merch_4c8539d5,card_not_present,dev_1xtqsr7sh2,SG,SG,False,,0,
txn_dc5ba212822440,cust_4165bf4e0b,acc_22c14538efeb,Aditya Verma,aditya.verma559@outlook.com,453,2026-06-01T06:54:26,207.09,INR,travel,merch_3c981646,card_not_present,dev_rqa4mp669q,IN,IN,False,,0,
txn_107f26e5ac854d,cust_1dfb7e7332,acc_a43c0a284a21,Arjun Rao,arjun.rao195@yahoo.com,1419,2026-06-01T07:11:59,63.44,INR,electronics,merch_614ef96e,card_present,dev_a9in2xr838,IN,IN,False,,0,
txn_cc4ad8e8372e4b,cust_1a5a9ff82b,acc_1d8e71d89dd9,Neha Verma,neha.verma166@gmail.com,1836,2026-06-01T07:58:16,18.75,INR,grocery,merch_7dac0a29,card_not_present,dev_6jrv6xkv59,IN,IN,False,,0,
txn_7be792d8bdea4a,cust_1463d73e59,acc_5db9c0a7f99a,Saanvi Mehta,saanvi.mehta106@outlook.com,1022,2026-06-01T08:02:44,13.08,USD,ecommerce_general,merch_e3d81325,card_present,dev_m8tohjfn17,GB,GB,False,,0,
txn_5b4404f0605a49,cust_4367ad6aec,acc_90ca24d1f951,Ishaan Verma,ishaan.verma825@outlook.com,1384,2026-06-01T08:10:23,21.21,USD,healthcare,merch_042c57d6,card_not_present,dev_tw1bytxza4,GB,GB,False,,0,
txn_35e71d195aba47,cust_cc28ab1a40,acc_ebad01571a9b,Rohan Gupta,rohan.gupta913@proton.me,860,2026-06-01T08:22:23,6.13,INR,fuel,merch_640e8e47,card_not_present,dev_11nh94almx,IN,IN,False,,0,
txn_ff689d96a16545,cust_861b9996ea,acc_c6ce9fc96c37,Meera Verma,meera.verma47@gmail.com,2022,2026-06-01T08:29:51,140.31,INR,electronics,merch_3fc11ec1,card_present,dev_94sgfdk0q0,IN,IN,False,,0,
txn_c78809d0f1424b,cust_d311cd1aca,acc_5c54f312974d,Diya Mehta,diya.mehta309@yahoo.com,865,2026-06-01T08:42:43,1062.21,USD,travel,merch_9e6ccef1,card_not_present,dev_dzvr9d02u7,SG,SG,False,,0,
txn_ef8b61976eeb4a,cust_7c74d43585,acc_61f33ed6925d,Simran Khan,simran.khan429@proton.me,184,2026-06-01T09:22:14,28.68,USD,food_delivery,merch_366b4f9e,app_transfer,dev_weribv8ni1,US,AE,True,,0,
txn_99cfabb7f2b64f,cust_969625a6ed,acc_bffff25b2cb7,Kabir Khan,kabir.khan159@proton.me,1502,2026-06-01T09:24:05,14.23,USD,food_delivery,merch_49b4d6bb,card_not_present,dev_wcfie6kn0q,US,US,False,,0,
txn_2b93cad584794f,cust_c4a35747b5,acc_90abdb59eee7,Sana Das,sana.das154@outlook.com,463,2026-06-01T09:37:46,27.47,INR,travel,merch_8a537bdc,card_present,dev_rodq4akm9e,IN,IN,False,,0,
txn_8e38b034bef945,cust_cc28ab1a40,acc_ebad01571a9b,Rohan Gupta,rohan.gupta913@proton.me,860,2026-06-01T09:44:09,3.0,INR,entertainment,merch_a8074410,card_present,dev_11nh94almx,IN,IN,False,,0,
txn_dfe9fd321cf14e,cust_e66489dfbc,acc_90230fba5e82,Vivaan Nair,vivaan.nair161@outlook.com,1345,2026-06-01T09:48:20,10.28,INR,grocery,merch_a0c397c6,card_not_present,dev_4vg9z2abpt,IN,IN,False,,0,
txn_d4d92b32c53245,cust_2112635f7b,acc_94d1a74df7b1,Rahul Verma,rahul.verma544@outlook.com,2474,2026-06-01T09:55:49,68.4,INR,electronics,merch_03c57a1d,card_present,dev_fob80vwgc7,IN,IN,False,,0,
txn_e8846165fc1246,cust_59485bca67,acc_5ca7eedb2027,Ishaan Reddy,ishaan.reddy926@yahoo.com,1013,2026-06-01T10:04:17,18.32,INR,grocery,merch_86342ee8,card_present,dev_2u2x17poi9,IN,IN,False,,0,
txn_34c1782079f645,cust_b296fd5f5b,acc_1dfb020253a0,Ishaan Iyer,ishaan.iyer278@proton.me,1783,2026-06-01T10:10:31,11.44,INR,grocery,merch_d2a17238,card_not_present,dev_5xmdda47of,IN,IN,False,,0,
txn_fd9be5da8c564d,cust_0c89cf2de4,acc_1a28b7d95b91,Sana Iyer,sana.iyer811@yahoo.com,969,2026-06-01T10:21:11,11.33,INR,grocery,merch_a6bfa364,card_not_present,dev_bjudl3af6k,GB,IN,True,,0,
txn_2c0aacbdcaa34d,cust_5dff7cd469,acc_f99d3af314d4,Ananya Das,ananya.das541@yahoo.com,305,2026-06-01T10:28:39,28.9,USD,ecommerce_general,merch_1383739b,card_not_present,dev_vfeaackxxq,DE,DE,False,,0,
txn_3b261816dc6d43,cust_966325db8c,acc_9774826822cf,Rohan Rao,rohan.rao780@gmail.com,159,2026-06-01T10:28:42,37.87,INR,ecommerce_general,merch_c082859d,card_not_present,dev_p4b7qpizj8,IN,IN,False,,0,
txn_30fe5dcd57eb41,cust_31cd47dd78,acc_91728928ff94,Ananya Reddy,ananya.reddy620@gmail.com,1721,2026-06-01T10:36:39,8.11,USD,entertainment,merch_6613c6ee,card_not_present,dev_16sgs5ttno,US,US,False,,0,
txn_8f0ce95a685c47,cust_a810b4f0dc,acc_ea173edea6fc,Dev Rao,dev.rao845@proton.me,190,2026-06-01T10:39:48,107.99,USD,electronics,merch_15a02534,wire,dev_o7utxzbdq5,US,US,False,,0,
txn_83984a1ac3724e,cust_e0ab8c2f04,acc_a6ceac1417a9,Ishaan Gupta,ishaan.gupta906@outlook.com,1968,2026-06-01T10:40:03,12.45,USD,grocery,merch_ef5a5d47,card_present,dev_iibfw09xlg,GB,GB,False,,0,
txn_33d6f2e6b2164b,cust_e6c9978fa1,acc_744cf581ce7a,Priya Das,priya.das205@proton.me,2426,2026-06-01T11:02:39,16.26,INR,fuel,merch_ebbe0b1b,card_present,dev_i8daib6sqk,IN,IN,False,,0,
txn_2f8d18c707494d,cust_4fe5e93408,acc_70a62329a396,Pooja Iyer,pooja.iyer17@yahoo.com,64,2026-06-01T11:04:28,16.58,INR,grocery,merch_5ce1a952,wire,dev_36a6sb7bio,IN,IN,False,,0,
txn_e40fdad38bce4c,cust_df892642d2,acc_0187c44d5891,Aditya Joshi,aditya.joshi712@gmail.com,2266,2026-06-01T11:04:36,94.78,INR,travel,merch_22280c3c,app_transfer,dev_gxc0ilwur6,IN,IN,False,,0,
txn_6d57b0cd15d14e,cust_7d451d58b6,acc_c8d19491731f,Rohan Mehta,rohan.mehta374@gmail.com,1485,2026-06-01T11:09:21,52.44,INR,grocery,merch_c1bbd28f,card_present,dev_dt7u6clgvj,IN,IN,False,,0,
txn_97618b10012b4b,cust_cedb4a5bea,acc_39a42a8b7356,Arjun Sharma,arjun.sharma500@gmail.com,562,2026-06-01T11:21:57,16.51,INR,grocery,merch_f8208f59,card_not_present,dev_banxaoeygo,IN,IN,False,,0,
txn_22613646a23d45,cust_5a8a75c1de,acc_817a64d351f0,Rahul Patel,rahul.patel312@yahoo.com,1265,2026-06-01T11:27:40,16.5,INR,utilities,merch_af7177c7,card_not_present,dev_scebpuwfq9,IN,IN,False,,0,
txn_2f586707ed7f4e,cust_9b36f2c0f4,acc_745d7207c7f0,Rahul Verma,rahul.verma506@proton.me,602,2026-06-01T11:30:08,28.77,USD,ecommerce_general,merch_910fa40c,card_present,dev_i94780ce91,SG,SG,False,,0,
txn_2ade1101f58843,cust_d7f022b3ff,acc_f1c410e85cd9,Vivaan Patel,vivaan.patel421@proton.me,430,2026-06-01T11:44:57,3.11,USD,fuel,merch_45eaf7ad,card_present,dev_vp4gl7jvc9,SG,SG,False,,0,
txn_68777df9690943,cust_d4964ed47a,acc_cacb7b4219b3,Aditya Khan,aditya.khan806@outlook.com,1136,2026-06-01T11:58:41,18.63,INR,utilities,merch_877c7218,card_present,dev_8dwpzkg84y,IN,IN,False,,0,
txn_33af3ea5014646,cust_2fa4ff8b86,acc_921c1293815d,Myra Mehta,myra.mehta475@proton.me,1669,2026-06-01T11:59:44,105.25,USD,ecommerce_general,merch_142a5b6c,card_not_present,dev_g2lwl0tqft,US,US,False,,0,
txn_f98a555e643f4f,cust_96a8375834,acc_6cc0020e604d,Pooja Singh,pooja.singh344@gmail.com,783,2026-06-01T12:09:45,61.33,INR,ecommerce_general,merch_a7d36bfc,card_not_present,dev_abz1k0r401,IN,IN,False,,0,
txn_b97696cb4f5640,cust_244b6f7354,acc_5aeb0a253e3b,Ananya Kapoor,ananya.kapoor31@outlook.com,2030,2026-06-01T12:13:33,15.2,INR,ecommerce_general,merch_3bc9699a,card_not_present,dev_pzd8n0obku,IN,IN,False,,0,
txn_159ebf67750b4a,cust_27c8a0da28,acc_1d97e2ef7ccf,Rohan Kapoor,rohan.kapoor714@outlook.com,508,2026-06-01T12:15:41,113.77,INR,electronics,merch_a93086bc,wire,dev_cjojz5k9it,IN,IN,False,,0,
txn_1b297d837f3e49,cust_cedb4a5bea,acc_39a42a8b7356,Arjun Sharma,arjun.sharma500@gmail.com,562,2026-06-01T12:22:07,102.5,INR,electronics,merch_8beff464,card_present,dev_banxaoeygo,IN,IN,False,,0,
txn_a1597478153741,cust_66be0fa5ee,acc_ea3f2a0eddae,Myra Rao,myra.rao659@outlook.com,2092,2026-06-01T12:29:04,31.41,INR,healthcare,merch_90b4286f,card_present,dev_llzvrg4u5f,IN,IN,False,,0,
txn_8d6aaad4bed548,cust_a69aec70df,acc_dd1f43e5aee5,Kabir Sharma,kabir.sharma251@gmail.com,588,2026-06-01T12:35:27,13.26,INR,utilities,merch_5f700ec1,app_transfer,dev_cuhcztgzoh,IN,IN,True,,0,
txn_3049202c41574d,cust_6d0c5a8741,acc_ab0ff88e3e16,Neha Das,neha.das29@outlook.com,2186,2026-06-01T12:44:36,8.37,USD,food_delivery,merch_ebfe2400,card_present,dev_uug95rlrdi,SG,SG,False,,0,
txn_fe826b47c90348,cust_8991a7da65,acc_490c9ea8b98e,Simran Reddy,simran.reddy189@gmail.com,2448,2026-06-01T12:46:28,13.31,INR,food_delivery,merch_d8982c14,card_not_present,dev_dkfeekot16,IN,IN,False,,0,
txn_d6d591938d4447,cust_8925a053d6,acc_b98bc8f9af3b,Vivaan Reddy,vivaan.reddy252@yahoo.com,796,2026-06-01T12:47:11,25.58,INR,electronics,merch_ead01f37,app_transfer,dev_e86zmq0pr7,IN,IN,False,,0,
txn_fe7f50ebd2b341,cust_13bed4204a,acc_1a0d42c3ed19,Priya Khan,priya.khan89@proton.me,56,2026-06-01T12:48:42,82.45,INR,electronics,merch_fb8cfaad,wire,dev_hukwqvr1h6,IN,IN,False,,0,
txn_17194bdd043b47,cust_cedb4a5bea,acc_39a42a8b7356,Arjun Sharma,arjun.sharma500@gmail.com,562,2026-06-01T12:49:31,17.36,INR,fuel,merch_78364747,card_not_present,dev_banxaoeygo,IN,IN,False,,0,
txn_397a38a5cfce41,cust_849b2894a7,acc_7a3a77374801,Ananya Singh,ananya.singh252@gmail.com,1211,2026-06-01T12:53:37,18.24,INR,grocery,merch_8e756026,card_present,dev_q5tdfgj7nr,IN,IN,False,,0,
txn_e5972b2fe6bd47,cust_e4d91b1d4a,acc_427da9957bac,Ishaan Joshi,ishaan.joshi785@outlook.com,1814,2026-06-01T13:05:42,55.32,INR,healthcare,merch_3b2a1e12,app_transfer,dev_8thx4x6bl7,US,IN,True,,0,
txn_69ae09b4477b45,cust_cdb0980dae,acc_51979fccaf49,Rahul Kapoor,rahul.kapoor713@gmail.com,1703,2026-06-01T13:10:11,143.33,USD,electronics,merch_9ce94547,app_transfer,dev_4le2ob2bb3,US,US,False,,0,
txn_8be50eba7c9d45,cust_70a856a61e,acc_b20dec618ef8,Rohan Reddy,rohan.reddy185@proton.me,271,2026-06-01T13:12:52,17.51,INR,entertainment,merch_860a3c6f,card_not_present,dev_tnd9tkg1f8,IN,IN,False,,0,
txn_a4643de2aadf43,cust_7c10c778d8,acc_1507db716148,Ananya Khan,ananya.khan622@outlook.com,1523,2026-06-01T13:21:59,6.51,INR,grocery,merch_bf3fa1c6,card_present,dev_w5eje32te5,IN,IN,False,,0,
